index,segment,answerDate,NPS,impactInteraction,reason,improvement
136,Segmento 2,MES 3,5,3.0,Sin comentarios,Ser más eficiente
137,Segmento 1,MES 3,0,1.0,Incrementos injustificados en los seguros asociados al crédito vehicular.,Que no me pongan inconvenientes con la cancelación de los seguros con AXA colpatria.
138,Segmento 1,MES 3,0,2.0,Mala atención,Mejorar el servicio de llamadas
139,Segmento 2,MES 1,0,5.0,Por todo,Nada
140,Segmento 2,MES 2,2,1.0,"Mal mal me remitieron a una sede física, vivo lejos de la ciudad de Cali, fui a esa sede y no me atendieron, había 22 personas adelante en turno. La gente brava por la lentitud en la atención gritando ""qué demora"". Me devolví a mi casa, volví a llamar y la respuesta es que debía regresar a la sede física. Prefiero cancelar la tarjeta, ninguna consideración con las personas mayores.",Ustedes saben
141,Segmento 1,MES 1,0,1.0,"El servicio al cliente no existe. Este canal solo sirve para que ustedes den todas las excusas posibles para no hacer lo correcto. Por ejemplo: Como puede ser correcto que el banco emita una tarjeta de credito pero no la envié y que a pesar de su fallo en enviarla ustedes se atrevan a cobrarle al cliente la quota de manejo mensual, como si la tarjeta hubiera sido ACTIVADA Y USADA? 

Aparentemente el servicio es manejado por robots y no por gente que pueda tomar una decion basada en logica y honestidad.","Utilicen gente entrenada que piense en favor del cliente, no en lo que al banco le convenga, particularmente si no es lo honesto a hacer"
142,Segmento 1,MES 1,5,1.0,"Las cuotas de manejo de tarjeta de crédito son muy altas, me informaron que después de 6 meses con el nuevo plástico me exonerarían de la cuota y al llamar para ello, me dicen que no hay campañas de exoneración!",Cumplir con las condiciones que ofertan al cliente en línea.
143,Segmento 1,MES 1,2,1.0,"Porque me hicieron llamar varias veces para un mismo requerimiento, luego de pasar en el teléfono mas o menos 30 minutos me dicen que no me pueden dar la información que porque no soy el titular del préstamo (soy el codeudor). Eso me lo hubieran dicho desde al principio y me hubieran ahorrado tiempo.",Capacitar mejor al personal
144,Segmento 2,MES 1,5,1.0,no me resolvieron y me mandaba de un lado para otro,"escuchar adecuadamente al cliente para brindarle una solución, ponerse en el lugar del cliente"
145,Segmento 1,MES 3,1,1.0,Mucha desconfianza con el cliente y amenazadera,Ser la atención más directa y rápida
146,Segmento 1,MES 2,0,1.0,"Llevo desde el 23 de octubre tratando de solucionar un doble cobro que me hicieron en mi tarjeta de crédito el 19 de octubre por $196.500. En el chat, varias veces por teléfono, en la linea normal, en la linea antifraude, en todo sitio, los empleados todos me dan información diferente y ninguno me da la respuesta correcta. Repiten como loros unas líneas huecas sin entender la necesidad del cliente; todos parecen querer deshacerse del problema (cliente) con una respuesta rápida, vacía y sin sentido; lo que ellos suponen. Parece que no tienen una base de datos sólida donde consultar, ni un superior a quien puedan acudir cuando no saben cómo solucionar... Si pudiera poner una calificación negativa, les daría -20. Estoy muy dolida y decepcionada. Y eso sin contar cuando se les cae la llamada...","Mejorar las bases de datos para consulta de los asesores, entrenarlos mejor, asignarles un superior que tenga acceso a la información que los asesores no manejan para que atienda las solicitudes de los clientes que hacemos rico a este banco. Gracias"
147,Segmento 1,MES 2,6,3.0,,
148,Segmento 2,MES 1,4,1.0,Porque cambiaron las reglas con los clientes y ya empezaron a cobrar cuotas de manejo por todos los productos,Qué resuelvan rápido los requerimientos
149,Segmento 1,MES 2,1,3.0,No lo recomendaria por que motivo pague el total de mi tarjeta y tras del echo me siguen cobrando un estralinea que no se de que es y  lo llaman a uno y despues de que uno da los datos le cuelgan el telefono como quien dice pague por que tiene que pagar a las malas o a las buenas sin deber nada me quieren poner a pagar algo que yo no me.he comido esto es injusto lo que hacen con nosotros los clientes injusto,Que por favor alguien me llame para mostrarle mis motivos por que no quiero seguir mas con esta tarjeta supuestamente yo soy un buen cliente por que pago puntual pero el echo de que yo pague puntual no es para que se aprovechen asi dee esa manera.
150,Segmento 1,MES 3,3,1.0,Los intereses de la tarjeta de crédito son muy altos.,
151,Segmento 1,MES 3,6,3.0,Costoso y además no me dieron nunca una alternativa de avances en efectivo como otras tarjetas,Mejorar los costos
152,Segmento 1,MES 1,6,3.0,No me solucionaron mi requerimiento,Abrir un banco en la ciudad dónde resido por qué lo cerraban? Prestaba un amplio servicio
153,Segmento 1,MES 3,0,1.0,Hacen cambios sobre costos y condiciones sin notificar al usuario,Ser claros en las condiciones comerciales
154,Segmento 1,MES 3,2,4.0,Muy regular la atención y no hay respuesta clara en la llamada.,"Brindar atención precisa, que den solución pronta. Que la respuesta no sea ""Es mejor ir a la oficina """
155,Segmento 1,MES 2,0,1.0,"Las líneas de atención no sirven, tengo la tarjeta de crédito bloqueada y me ha tocado acercarme 6 veces a las oficinas por que no me dan solución, y en las oficinas me indican que debo volver a ir a la oficina nuevamente ya que no pudieron desbloquearla",
156,Segmento 1,MES 1,5,2.0,,
157,Segmento 1,MES 3,1,1.0,Nunca se pi de usar la app.. la clave es imposible de colocar ya qu ponen mil trabas... Y la línea de atención al cliente nunca pueden atender mi solicitud,Todo
158,Segmento 1,MES 1,0,1.0,"Porque el tema de las 7 compras para no tener cuota de manejo es muy fastidioso, además estoy en el proceso de pagar y cancelar la tarjeta",Nada igual pienso retirarme
159,Segmento 1,MES 2,5,1.0,"Por que cobran el interés muy alto, y los aportes que realizo no se ven reflejados",Capacitar los asesores
160,Segmento 2,MES 3,5,3.0,,
161,Segmento 1,MES 2,5,1.0,Es inconcebible que una entidad donde uno debería confiar como respaldo económico con sus cuentas y tarjetas resulte tan repelente y asquerosamente fría cuando el cliente necesite información básica sobre sus productos. El laberinto telefónico es repudiable e ineficaz,"No hay caso ni esperanza posible para eso en un país como Colombia, que garantía y parece respaldar la bellaquería de los bancos. ¿En dónde más, si no es aquí, permiten que los sistemas de los bancos""se caigan"" como si tal cosa y no haya ni sanciones ni mejoras?"
162,Segmento 1,MES 2,4,3.0,Porque en lo personal tengo un encobeniente y no me an ni ayudado menos me dan una solución ni orientación que debo hacer,Tener jente más comprometida con el trabajo que desempeñan y ser un poquito más decentes con el cliente
163,Segmento 1,MES 2,0,1.0,la espera es terriblemente larga,Pensar en el cliente y satisfacerlo
164,Segmento 1,MES 3,1,5.0,,
165,Segmento 1,MES 1,3,1.0,Porque el banco no respeta los convenios lo convenido con los usuarios sobre las cuotas de manejo de la tarjeta,De verdad el empleado fue muy amable pero las posibilidades que me dio fueron inaceptables ya que el banco me dijo que continuara con una tarjeta y yo lo tenía que hacer una compra por mes y ahora me están cobrando cote manejo que ya me metí con ustedes además me dice que para exonerarme tengo que hacer cuatro compra en el mes y esto no fue lo convenido
166,Segmento 1,MES 3,1,1.0,"Buenas noches
No me dieron solución a un inconveniente que tuve
Se demoran mucho en contestar el 
call center",Mejorar la atención en call center y atención al público
167,Segmento 1,MES 3,3,1.0,"Se promete por parte de funcionarios en oficina y luego las condiciones de alguna transacción son diferentes,adicional se incluyen seguros sin informar al cliente.",No engañar al cliente con falsas promesas
168,Segmento 1,MES 1,4,1.0,Las personas que me atendieron sobre la misma situación me dieron respuesta diferente  y no brindaron ninguna opción.,Mejorar la calidad en las personas que atienden y siempre buscar alternativas para que el cliente se vaya feliz.   Que me llamen.
169,Segmento 1,MES 1,2,1.0,No me dieron ninguna solución,"Ya fui directamente a la oficina del banco, por línea no pude resolver nada"
170,Segmento 1,MES 2,0,1.0,Quien me atendió no me solucionó nada... Me pidió datos q no me debía pedir por seguridad y la atención en la oficina fue peor... Una hora para actualizar un dato.,Capacitar al personal y agilizar los métodos de atención
171,Segmento 1,MES 3,0,1.0,el tiempo de espera el en call de ustedes fue terrible una llamada de 45 min el en banco y despues otra de 25 min,tenber mas agentes para q el tiempo de espera no sea eterno
172,Segmento 2,MES 1,0,1.0,"No me solucionaron, para comunicarme fue muy demorado, no me cumplieron con lo que me prometieron... un fiasco total",necesito un asesor urgente 3102402683
173,Segmento 1,MES 3,1,1.0,"El día 21 que llamé a ver por qué estaba mi tarjeta de crédito bloqueada y en mora a pesar de haber pagado, el apellido Oyola me dijo que era porque había pagado tarde y que debía pagar el 10 de enero/24 y que NO me iban a seguir corriendo los días como morosa pero eso era mentira porque al día siguiente seguía en mora, entonces me dirigí a una oficina acá en Barranquilla y el asesor me dijo que estaba en mora por $5000 y que los pagara enseguida y al día siguiente se me quitaba la mora, efectivamente así lo hice y fue positivo el resultado. Entonces ví que el asesor que me atendió a través del #304 NO tiene ni idea de lo que hace con una mala información porque eso me bajó el puntaje y yo estoy aspirando a un crédito hipotecario, lo cual me perjudicó visiblemente. Recomiendo tener más cuidado con lo que se le dice al cliente porque si hubiera esperado hasta el 10 df enero 24 hubiera podido ir hasta datacredito por esa mala asesoría.","Contestar más rápido porque duré como 10 minutos esperando, dar una información certera ya que la vida crediticia es muy delicada y se le pueden cerrar puertas a uno con los bancos por una tontería como es deber $5000."
174,Segmento 1,MES 2,0,3.0,,
175,Segmento 1,MES 3,0,1.0,No valoran la antigüedad del cliente. En su momento había solicitado una tarjeta de crédito Terpel salió viable y luego de 2 días que quise intentar no fue posible ya no me salía cupo. Deberían valorar el cliente y el comportamiento de pago del cliente,Llame porque mi tarjeta de crédito no sirve para hacer comprar presenciales. Y no me dieron ninguna solución
176,Segmento 1,MES 3,0,1.0,"No estoy interesada en tener vinculos con la entidad. Estuve en la oficina salitre y aunque recibí atención por parte de una persona que me informó es el gerente, ninguno se presentó con nombre y el radicado de mi solicitud de cancelación recibí una hoja de papel con un número que se supone es el código del radicado. Adicionalmente, la oficina estaba insoportablemente llena con clientes incomodos y malhumorados por la demora en la atención. Esto pasó el pasado lunes 11 de diciembre 2023.",Por ahora resolver mi petición lo mas pronto posible. No tengo interés en crear vínculos con la entidad.
177,Segmento 1,MES 1,2,2.0,El último asesor que tomó mi llamada fue grosero al punto de mandarme a callar,Tener mejor atención al cliente
178,Segmento 1,MES 1,6,3.0,Como usuaria deScotiabank que vivo en Ricaurte Cundinamarca el mayor problema es que para cualquier reclamo o informaciòn personalizada me toca ir a Ibaguè o Bogota,Creo que nada
179,Segmento 1,MES 2,5,1.0,Por que hubieron dos compras que yo en ningún momento realicé con mi tarjeta.,
180,Segmento 1,MES 1,0,1.0,,
181,Segmento 1,MES 2,1,2.0,No tuve Respuesta,Nada
182,Segmento 1,MES 3,3,5.0,Cobrar gastos no anunciados. Es dificil comunicarse  con el asesor,Contestar la llamada
183,Segmento 1,MES 2,5,4.0,"Buenos días, recibí un mensaje en el cual me informaban que por las compras con mi Tarjeta Visa Lifemiles, me había ganado una botella de vino, pero al llamar a la línea telefónica para verificar la información me dijo que aún no tenía las compras necesarias, entonces para que envían noticias falsas, gracias",
184,Segmento 1,MES 3,1,1.0,El tiempo en espera para que me atendieran fue de 15 minutos y cuando me contestaron la persona que me contestó fue muy displicente y la solución fue nula.,El tiempo de espera para contestar la llamada debería ser más corto y la atención más eficaz
185,Segmento 1,MES 2,0,1.0,"por varias razones me encuentro en el exterior y desde hace varios meses se vencio el plastico de mi tarjeta de credito y he intentado por todos los medio que me la envien y no ha sido posible
tampoco he solicitado varias veces que actualicen mi direccion y celular y tampoco ha sido posible
lo ultimo es que se bloqueo mi acceso a la oficina virtual para hacer los pagos y la semana pasada llame y la unica solucion que me dieron es que fuera directamente a una oficina lo cual es absurdo porque estoy fuera del pais y un familiar tiene un poder y ha intentado ayudarme y radico la solicitud para todo esto en la oficina Vivero y dejo alli el poder y los documentos y han pasado varios meses y tampoco resuleven nada
para mi ha sido el peor servicio al cliente de parte de ustedes es increible que yo siendo buena cliente pagando oportunamente siempre el banco no sea capaz de solucionar tramites sencillos como estos",Solucionar de manera efectiva y real las solicitudes que he realizado desde hace tanto tiempo
186,Segmento 1,MES 1,2,1.0,Es la única institución que cobran manejo de la tarjeta por no utilizarla,Ser más claros al acceder al sacar la tarjeta. De haber sabido su política no la hubiera sacado
187,Segmento 1,MES 1,5,3.0,Sigue siendo un crédito,Todo bien
188,Segmento 2,MES 3,2,1.0,"Es inaudito que en la era tecnológica e internet, deba ir a una sucursal bancaria a reactivar una cuenta, cuando incluso este mismo banco ofrece abrir productos en línea. Y eso dificulta la posibilidad de administrar mis productos. Me siento decepcionado y molesto.","Ese sistema de audiorespuesta es difícil de navegar, no es fácil contactarse con una persona. Y no es concebible que esas personas no puedan resolver inquietudes de los usuarios como reactivar una cuenta."
189,Segmento 2,MES 1,0,1.0,"Me tuve que comunicar más de 4 veces, cada asesor que me atendió me dió información diferente, y lo que me sucedió con mi dinero fracturó la confianza que le tenia a este banco y las la negligencia con la que actúan",
190,Segmento 1,MES 1,6,5.0,,
191,Segmento 2,MES 2,1,1.0,Por los cobros que actualmente tienen son costososa las coutas de manejo de los productos.,Bajar los costos en las cuotas de manejo de los productos y los seguros de deuda por millón.
192,Segmento 1,MES 2,0,1.0,No me dejan cancelar la tarjeta y me cobran valores que no corresponden,Dejarme cancelar mis productos
193,Segmento 1,MES 1,2,1.0,,"Darle solución en forma inmediata  sin tener que  pasarlo por varias acesoras que al final nunca solucionan nada y le hacen perder tiempo esperando,pésima atención  y en las sucursales del banco no dan solución a nada."
194,Segmento 1,MES 1,2,1.0,Nunca obtuve atención sería de mis preguntas,Coordinar la información para todos los agentes que trabajan para Scotiabank
195,Segmento 1,MES 3,4,1.0,Cobro execivo de cuota de manejo,Tardar menos en comunicar al cliente con un asesor
196,Segmento 1,MES 1,0,1.0,No me solucionaron,Activqcion rapida
197,Segmento 1,MES 2,1,1.0,Al momento de tratar de comunicarse vía telefónica no hay respuesta de un asesor se caen las llamadas haciendo que se tenga que volver a llamar.,Al momento de ver que insistentes las llamadas devolver la llamada
198,Segmento 1,MES 1,5,1.0,"Porque la información que los funcionarios dan nunca es la misma. Con la solicitud que yo necesitaba que es disminución de la cuota y unificación de tarjeta y crédito rotativo, llevo varios días y no la he podido resolver. Me mandan al banco y en banco, después de esperar una cantidad de tiempo, me dicen que es por teléfono. En el teléfono 7436000 es muy difícil comunicarse porque dice que todos los asesores se encuentran ocupados y de una vez se cuelga la llamada. Cuando por fin uno se puede comunicar de pronto se corta la llamada y los asesores aunque digan que si no la devuelven. Además cada asesor da una información diferente.",Creo que ya contesté esa pregunta cuando manifesté mi queja al comienzo
199,Segmento 1,MES 2,6,4.0,,
200,Segmento 1,MES 2,0,1.0,"Es una entidad que no cuida al cliente. 
Soy usuario del banco hace mucho mas de 10 años con una historia IMPECABLE y no tuve buena experiencia con el banco. 
El UNICO funcionario que rescataria y por el cual me mantuve durante todo el tiemp fue Marcelo Serna. Un funcionario maravilloso y siempre al lado del cliente.","Ya cancele los productos que tenia.
Muchas gracias."
201,Segmento 1,MES 1,4,1.0,muy demorada la plataforma en reportar el comercio donde se hace una compra,mejoras la plataforma para no tener q llamarlos
202,Segmento 1,MES 3,1,1.0,Por qué porque en ningún momento me contestaron para resolverme la inquietud que tenía,Tratar de cambiar como el estilo que tienen para poder que le contesten a uno porque una máquina nunca le resuelve a uno nada
203,Segmento 1,MES 1,5,1.0,No pude entender la explicación que me dieron y no hubo solución,
204,Segmento 1,MES 3,0,1.0,No hubo solución ni interés,Dar soluciones y opciones vía telefónica
205,Segmento 1,MES 1,4,2.0,no son claros con la información o lo que dicen no lo cumplen después,cuándo me indicaron el bloqueo de mi producto me dijeron q era máximo 4 mese y ahora dicen q es hasta q cancele el valor total del producto me parece falta de seriedad por parte de Colpatria deberían dar la información correcta desde un principio o cumplir lo q dicen falta de profesionalismo
206,Segmento 1,MES 3,1,3.0,Las líneas de atencion son muy demoradas y no ofrecen información ni soluciones oportunas.,Responder rápido y dar respuesta a requerimientos sobre el seguimiento del requerimiento
207,Segmento 1,MES 1,0,1.0,"X q no resolvieron nada en la llamada 
El servicio muy malo 
Pague una factura de agua a través de corresponsal bancario y ahora no aparece el pago en la empresa prestadora",Instruir mejor a los empleados x q después llame y si me tomaron el reclamo
208,Segmento 1,MES 3,0,3.0,Empezando por el asesor es una persona mentirosa no tienen puntos vario para retiro y no dan soluciones a lo que uno requiere,Tener varios puntos de retiro atención y no cobrar por cada retiro
209,Segmento 1,MES 2,3,1.0,,
210,Segmento 1,MES 3,0,1.0,"Por qué nunca me avisaron de un nuevo plástico para mi tarjeta de crédito y me la bloquearon, pero tampoco puedo actualizar los datos desde la página para pedir una nueva , no me la pueden entregar en una oficina . No sé qué pretenden o cómo quieren que la use ?",Darme solución
211,Segmento 1,MES 2,4,2.0,"Desde el día de ayer ,me comunique a la línea de atención al cliente,para solucionar el ingreso a las 0lataformas virtuales del banco y no ayudan en nada...y en la página tampoco funciona......pésimo servicio",Solucionar el inconveniente de ingreso a la plataforma y la app
212,Segmento 2,MES 3,2,1.0,"Porque las tasas de interés, en este banco, son más altas que los otros bancos, al los cuales también soy cliente. Además, no me cobraban cuota de manejo, realizando solo una compra y ahora la aumentaron de forma significativa","Soy un cliente que llevo muchos años con ustedes, pero con las nuevas políticas presentadas en cuanto al cobro de cuota de manejo, estoy estudiando la posibilidad de cancelar el producto, que tengo con ustedes. Soy cliente de otros bancos y manejan políticas más flexibles, en cuanto al cobro de cuota de manejo."
213,Segmento 1,MES 2,2,2.0,"Porque las personas que atienden en la línea no tienen la información clara ni precisa que el cliente necesita. En mi caso, la Señorita no supo informarme si había o no máquina de recaudo en la oficina de Plaza Claro.",Tener clara la información que demande el cliente
214,Segmento 1,MES 3,0,1.0,"Voy a cancelar mi targeta ya que el mes pasado me robaron 68.000 pesos y este mes me quieren cobrar cuota me manejo 
Y quedias hablé con área de fidelización y quedamos en algo y nada que lo cumplieron,razón por la cual pago les regaló eso robenselo ylisto",No robarme y creer que soy tonta
215,Segmento 1,MES 2,2,1.0,"Sin información sobre activación de tarjetas, más de 72 horas sin activarla",Cumplir con los tiempos estimados
216,Segmento 1,MES 3,4,1.0,Me bloquearon la cuenta no entendí por qué y los canales de atención son pésimos,Tener una ejecutiva como la última que me atendió
217,Segmento 1,MES 1,1,4.0,Intereses muy altos,Mejorando la atención al cliente
218,Segmento 1,MES 1,6,4.0,inconvenientes con una transacción que no realice pero que si me correspondio cancelar,"según las respuestas y tramites del banco nada, el usuario siempre las lleva de perder"
219,Segmento 1,MES 3,3,2.0,"La línea de servicio al cliente es un asco, las niñas que atienden son re prepotentes","Las chicas tengan mejor tacto al igual que presencial, son muy odiosas"
220,Segmento 1,MES 1,3,2.0,"Son exagerados en las tasas de interés y fuera de lo obligan a realizar cuatro operaciones del mes.
No deberían de utilizar esta estrategia cuando uno ha sido caliente cumplido en los pagos.",Mejoren.
221,Segmento 1,MES 2,0,2.0,"Llamé porque tenía mi banca virtual bloqueada, y no me dieron ninguna solución, quedaron en llamarme y nadie me ha llamado y tampoco me han solucionado el problema de la banca.",
222,Segmento 2,MES 2,1,1.0,"Debe ser fácil y sencillo que una persona en directo responda preguntas que tenemos los clientes, y quien responda debe redirigir a quien sea competente. Nada de eso he logrado.",Devolver la llamada y brindar solución
223,Segmento 1,MES 1,0,1.0,"No hay  forma  de comunicarme con un asesor para un proceso de fidelizacion, no llega los mensajes  para terminar con rl procesos...muy mal servicio no lo recomiendo  por nada del mundo",No poner tanto números para ingresar al menú...es muy enredado no contesta un operador...pésimo servicio
224,Segmento 1,MES 3,5,2.0,"He tratado de comunicarme con un asesor en varias ocasiones y ha sido imposible.  No hay disponibilidad de comunicación directa,  que no sea a partir de un app. La atención muy regular.","Contestar a  la línea de forma oportuna y no dejar al cliente esperando hasta dos horas en la línea,  sin atenderlo como me ocurrió a mí. En dado caso devolver la llamada como lo hacen otras entidades."
225,Segmento 1,MES 3,0,1.0,Por que espere mucho tiempo y tuve que realizar varias llamadas para que me atendiera un asesor y me colgaron,
226,Segmento 1,MES 3,1,1.0,Mal asesoría hay que llamar varias veces,Mejorará el servicio al cliente
227,Segmento 1,MES 2,0,1.0,No tengo cuentas con ustedes y me estas cobrando cuota de manejo,Devolver la llamada y evitar más inconvenientes
228,Segmento 1,MES 3,2,2.0,Cada vez son menos oficinas y se demoro mucho en contestar in asesor la llamada.,Que contesten más rápido en servicio al cliente
229,Segmento 1,MES 3,0,1.0,"Porque el cliente nunca tiene la razón y porque nunca atienden debidamente los reclamos, porque hacen cobros que no son acordes pues al pagar en una sola cuota siempre cobran intereses y porque no son eficientes cuando de fraudes se trata",No quiero saber nada de ustedes porque a pesar de tener relaciones por varios anos y de manejar mi cuenta con impecabilidad a ustedes les importa muy poco sus clientes
230,Segmento 1,MES 3,0,5.0,"Son unos usureros, poniendo políticas exageradas con los interés a los usuarios, como es posible que en compras de 1 cuota cobren inters cuando solo es una cuota con la excusa q hay otras compra a más de una cuota y por lo tanto cobran intereses al total de la deuda eso no lo hacen otros bancos",
231,Segmento 1,MES 2,0,5.0,Hay constantes cambios en los productos sin aviso alguno,
232,Segmento 1,MES 1,2,1.0,"Los procesos son complicados, no te resuelven por las líneas de atención y hay que desplazarse a las sucursale",Resolverme la situación  telefónicamente
233,Segmento 1,MES 2,0,1.0,"Mis datos están mal creados en el banco y mis pagos no se reflejan, solo me cobran y aparezco en mora",Que se reflejen mis pago y me creen bien los datos en el sistema del banco
234,Segmento 1,MES 1,0,1.0,pésima experiencia de servicio.,
235,Segmento 2,MES 3,4,1.0,Manejo de las tarjetas de crédito carisimas,Cuando llame a mi gerente de cuenta no estuvo disponible.
236,Segmento 1,MES 2,0,1.0,Por no disponer de mejores mecanismos para uno comunicarse con un consultor vía telefónica,Necesito que un asesor se comunique conmigo
237,Segmento 1,MES 1,0,1.0,Interés muy altos y cobran seguros de vida sin autorizaciones del cliente,Dejar de cobrar interese altos y altas cuotas de manejó y se
238,Segmento 1,MES 3,2,1.0,Mucho tiempo en cola y otra no me solucionaron mi problema e ido 2veces solo para que me cambien el plástico y desbloquen la tarjeta porque es muy antigua y solo llamar y nada quisas por eso voy a cancelar mi tarjeta,Que sean más pilosos en la atención al público durar hasta una hora en cola por favor respeten
239,Segmento 1,MES 2,0,1.0,No se resolvió mi solicitud,Activar canales de atención
240,Segmento 1,MES 3,0,1.0,PORQUE ME BLOQUEARON LA BANCA VIRTUAL Y NO ME DIERON SOLUCION POR NINGUNO DE LOS MEDIOS QUE LO INTENTE,SEGUN LOS ASISTENTES EN LINEA NO PUEDEN HACER NADA. SOLO ME QUEDA IR A UN PUNTO DEL BANCO PRESENCIAL Y EL MAS CERCANO ME QUEDA A TRES HORAS
241,Segmento 2,MES 3,5,5.0,Se ve desorden en los procesos,Revisar tiempos de estudios y tener Claro cuál es la información que se necesita para el proceso
242,Segmento 1,MES 3,0,1.0,Poca seguridad le ofrecen a sus cliente y ante fraudes no dan respuesta,"Dar respuesta a sus clientes, no ponerlos de un lugar a otros sin respuesta..
BANCO CON MUY POCA  SEGURIDAD PARA SUS CLIENTES.. NO ME SIENTO SEGURO CON EL BANCO RAZÓN POR LA QUE CANCELARÉ MIS PRODUCTOS"
243,Segmento 1,MES 1,2,1.0,Tengo mi tarjeta hace meses y no e podido activarla x nongun medio,Ya no se q hacer
244,Segmento 1,MES 2,0,1.0,np reembolsan a tiempo,resolver
245,Segmento 1,MES 2,0,1.0,Porque no me han podido solucionar mi problema y nadie responde en las líneas de atención o le dicen que el la zona no contestan.,"Que alguien me pueda llamar y solucionar mi problema, porque vivo en sincelejo y no hay banco acá, no me he podido comunicar con ningún asesor."
246,Segmento 1,MES 2,0,1.0,No me gusta su plan de negocios. Muy perjudicial.,Cambien sus políticas de intereses y cuota de manejo. Mejoren la línea telefónica.
247,Segmento 1,MES 3,0,1.0,,
248,Segmento 1,MES 2,6,3.0,,
249,Segmento 2,MES 1,4,1.0,Canales limitados poco resolutivos demorados,"Dar más herramientas a los que responden, facilitar el acceso, agilidad"
250,Segmento 2,MES 3,0,1.0,"NO he logrado solucionar mi tema de ingreso a la app a la página web, no logro pagar mis tarjetas porque estoy fuera del país y eso afecta mi buen comportamiento de pago de las tarjetas de crédito",Que la accesibilidad a una persona que facilite los procesos de ingreso a la banca virtual se mas fácil
251,Segmento 1,MES 1,6,4.0,Aumento un poco por la buena atención realizada por la asesora de servicios en la llamada.,Que los trámites y procesos del banco sean más fáciles y rápidos
252,Segmento 1,MES 3,2,1.0,"No hay forma de pausar la tarjeta así uno viaje al exterior y no pueda usarla, lo cual implica que toca pagar cuota de manejo en ese tiempo, y la cuota de manejor es demasiado alta. Además, pagar la tarjeta es complicado, además que las cuotas son caras y los beneficios pocos.",Piensen más en ayudar a las personas y menos en ganar plata.
253,Segmento 1,MES 3,3,2.0,Mala atención y muchos recargos sin ninguna explicación,"Revisar
Sus políticas y verificar que no todas benefician a todos los clientes."
254,Segmento 1,MES 3,0,1.0,"El asesor estaba hablando con sus compañeros antes de tomar la llamada, cuando contestó y tomó mi solicitud no estaba concentrada me puso en hold y me pregunta “que fue el problema que me dijo que tenía” el peor servicio de la vida",Tener un mejor servicio al cliente y cumplir con que promete
255,Segmento 1,MES 2,0,1.0,Sin comentarios,
256,Segmento 1,MES 1,3,2.0,he tenido muchos inconvenientes con este banco,
257,Segmento 1,MES 2,0,3.0,Tuve que realizar 4 llamadas (dos de más de 10 minutos de espera) para que me desbloquearan mi tarjeta de crédito por pésimo modelo de fraude que generó alerta por transacciones que realizó en comercios recurrentes. El teléfono que envían en el correo de bloqueo no es el que corresponde a la línea donde van a prestar el soporte.,Ajusten su modelo de fraude ya que no debe generar alertas por transacciones en comercios recurrentes
258,Segmento 1,MES 3,6,1.0,Al darme cuenta la tasa de intereses que cobran que son super altas y además en los últimos meses me cobraron intereses por compras a una cuota,.
259,Segmento 1,MES 3,1,1.0,"Tengo una tarjeta de crédito con ustedes, y no sirve si no abro una cuenta de ahorros con ustedes, intenté por medio telefónico y tampoco fue posible abrirla. No veo ningún beneficio con esa tarjeta. Ahora cobran un seguro de 4 mil pesos. Subieron a 7 compras al mes para no cobrar manejo de tarjeta. Malísimo. En comparación a otras tarjetas en el mercado está queda muy por debajo",Que sus ofertas de tarjetas de crédito sean competitivas en el mercado.
260,Segmento 2,MES 1,0,1.0,"Pésima asesoría y ninguna solución en las líneas, siempre informan que la información no fue reconocida y no es posible continuar",Solución para activar la contraseña
261,Segmento 1,MES 2,0,1.0,"Es un banco abusivo con los clientes, no lo recomiendo.","Ofrezcan soluciones reales, y no engatuzen a los clientes con cuentos."
262,Segmento 3,MES 3,5,5.0,Yo me refiero a la experiencia con la obtención  de un crédito hipotecario adq6en meses anteriores.,Así  está bien.  Estaba confundido con mi percepción del Banco en su conjunto.
263,Segmento 1,MES 2,1,1.0,"No tienen en cuenta el movimiento que se le da a las tarjetas, no estoy de acuerdo con el cobro por el cambio del plástico de las tarjetas, ni con la cuota de manejo. Por eso no la recomiendo y tampoco la voy a tener mas, solicito cancelación de la misma.",
264,Segmento 1,MES 3,6,2.0,Me cobran cuota de manejo por usar tarjetas de crédito y otras entidades financieras no lo hacen,Pensar en ofrecer mejores servicios a los usuarios sin cobrar cuotas de manejo en productos como tarjetas de crédito
265,Segmento 1,MES 1,0,5.0,No solucionan absolutamente nada,Brindar más información de la situación
266,Segmento 1,MES 3,1,1.0,Mala información por parte de asesor,Información acertiva
267,Segmento 1,MES 1,0,1.0,,
268,Segmento 1,MES 3,0,1.0,,
269,Segmento 1,MES 3,0,1.0,"La verdad la comunicación no es muy efectiva, no hay solución a la situación y la última persona que me atendió se veía que ni me escuchába mis peticiones y además habla con sus compañeros mientras me atendía.",Necesito la solución a mi situación
270,Segmento 1,MES 1,0,1.0,"Me bloquearon mi tarjeta de crédito y no me la quieren desbloquear. 

Pésimo servicio",Irse de Colombia
271,Segmento 1,MES 3,6,2.0,No hay comunicación interna.,Estandarizar los procesos internos de manera que la información dada por el usuario sea la tenida en cuenta y no las bases de datos sin actualizar
272,Segmento 1,MES 1,1,1.0,muy malo todo,Nada ya me fui
